Found 90 .dat file(s) to process

[1/90] Processing: AEROD_v_1_768_1152.dat
  False Negatives: 0
  False Positives: 20
  False Types: 0
  Grand Total: 20

[2/90] Processing: cb_ozone_c_1_768_1152.dat
  False Negatives: 0
  False Positives: 53
  False Types: 0
  Grand Total: 53

[3/90] Processing: cb_sulf_c_1_768_1152.dat
  False Negatives: 0
  False Positives: 70205
  False Types: 0
  Grand Total: 70205

[4/90] Processing: CLDHGH_1_768_1152.dat
  False Negatives: 0
  False Positives: 28
  False Types: 0
  Grand Total: 28

[5/90] Processing: CLDLOW_1_768_1152.dat
  False Negatives: 0
  False Positives: 165
  False Types: 0
  Grand Total: 165

[6/90] Processing: CLDMED_1_768_1152.dat
  False Negatives: 0
  False Positives: 437
  False Types: 0
  Grand Total: 437

[7/90] Processing: CLDTOT_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[8/90] Processing: FLDS_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[9/90] Processing: FLDSC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[10/90] Processing: FLNS_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[11/90] Processing: FLNSC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[12/90] Processing: FLNT_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[13/90] Processing: FLNTC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[14/90] Processing: FLUT_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[15/90] Processing: FLUTC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[16/90] Processing: FREQSH_1_768_1152.dat
  False Negatives: 0
  False Positives: 6
  False Types: 0
  Grand Total: 6

[17/90] Processing: FREQZM_1_768_1152.dat
  False Negatives: 0
  False Positives: 31377
  False Types: 0
  Grand Total: 31377

[18/90] Processing: FSDS_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[19/90] Processing: FSDSC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[20/90] Processing: FSDTOA_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[21/90] Processing: FSNS_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[22/90] Processing: FSNSC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[23/90] Processing: FSNT_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[24/90] Processing: FSNTC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[25/90] Processing: FSNTOA_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[26/90] Processing: FSNTOAC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[27/90] Processing: FSUTOA_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[28/90] Processing: ICEFRAC_1_768_1152.dat
  False Negatives: 0
  False Positives: 1169
  False Types: 0
  Grand Total: 1169

[29/90] Processing: LANDFRAC_1_768_1152.dat
  False Negatives: 0
  False Positives: 3269
  False Types: 0
  Grand Total: 3269

[30/90] Processing: LHFLX_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[31/90] Processing: LWCF_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[32/90] Processing: MSKtem_1_768_1152.dat
  False Negatives: 0
  False Positives: 2
  False Types: 0
  Grand Total: 2

[33/90] Processing: OCNFRAC_1_768_1152.dat
  False Negatives: 0
  False Positives: 585
  False Types: 0
  Grand Total: 585

[34/90] Processing: ODV_bcar1_1_768_1152.dat
  False Negatives: 0
  False Positives: 19049
  False Types: 0
  Grand Total: 19049

[35/90] Processing: ODV_bcar2_1_768_1152.dat
  False Negatives: 0
  False Positives: 5290
  False Types: 0
  Grand Total: 5290

[36/90] Processing: ODV_dust1_1_768_1152.dat
  False Negatives: 0
  False Positives: 3554
  False Types: 0
  Grand Total: 3554

[37/90] Processing: ODV_dust2_1_768_1152.dat
  False Negatives: 0
