Found 176 .dat file(s) to process

[1/176] Processing: ACTUAL_IMMOB_1_192_288.dat
  False Negatives: 120
  False Positives: 1038
  False Types: 1
  Grand Total: 1159

[2/176] Processing: AGNPP_1_192_288.dat
  False Negatives: 61
  False Positives: 702
  False Types: 0
  Grand Total: 763

[3/176] Processing: ANN_FAREA_BURNED_1_192_288.dat
  False Negatives: 0
  False Positives: 359
  False Types: 0
  Grand Total: 359

[4/176] Processing: AR_1_192_288.dat
  False Negatives: 5
  False Positives: 480
  False Types: 0
  Grand Total: 485

[5/176] Processing: area_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[6/176] Processing: areaatm_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[7/176] Processing: areaupsc_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[8/176] Processing: BCDEP_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[9/176] Processing: BGNPP_1_192_288.dat
  False Negatives: 57
  False Positives: 685
  False Types: 0
  Grand Total: 742

[10/176] Processing: BTRAN_1_192_288.dat
  False Negatives: 0
  False Positives: 136
  False Types: 0
  Grand Total: 136

[11/176] Processing: BUILDHEAT_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[12/176] Processing: COL_CTRUNC_1_192_288.dat
  False Negatives: 4
  False Positives: 1807
  False Types: 0
  Grand Total: 1811

[13/176] Processing: COL_FIRE_CLOSS_1_192_288.dat
  False Negatives: 25
  False Positives: 458
  False Types: 0
  Grand Total: 483

[14/176] Processing: COL_FIRE_NLOSS_1_192_288.dat
  False Negatives: 3
  False Positives: 12
  False Types: 0
  Grand Total: 15

[15/176] Processing: COL_NTRUNC_1_192_288.dat
  False Negatives: 22
  False Positives: 1108
  False Types: 0
  Grand Total: 1130

[16/176] Processing: CPOOL_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[17/176] Processing: CWDC_1_192_288.dat
  False Negatives: 0
  False Positives: 12
  False Types: 0
  Grand Total: 12

[18/176] Processing: CWDC_HR_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[19/176] Processing: CWDC_LOSS_1_192_288.dat
  False Negatives: 94
  False Positives: 852
  False Types: 0
  Grand Total: 946

[20/176] Processing: CWDN_1_192_288.dat
  False Negatives: 0
  False Positives: 53
  False Types: 0
  Grand Total: 53

[21/176] Processing: DEADCROOTC_1_192_288.dat
  False Negatives: 0
