Found 90 .dat file(s) to process

[1/90] Processing: AEROD_v_1_768_1152.dat
  False Negatives: 0
  False Positives: 10
  False Types: 0
  Grand Total: 10

[2/90] Processing: cb_ozone_c_1_768_1152.dat
  False Negatives: 0
  False Positives: 13
  False Types: 0
  Grand Total: 13

[3/90] Processing: cb_sulf_c_1_768_1152.dat
  False Negatives: 0
  False Positives: 861
  False Types: 0
  Grand Total: 861

[4/90] Processing: CLDHGH_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[5/90] Processing: CLDLOW_1_768_1152.dat
  False Negatives: 0
  False Positives: 457
  False Types: 0
  Grand Total: 457

[6/90] Processing: CLDMED_1_768_1152.dat
  False Negatives: 0
  False Positives: 634
  False Types: 0
  Grand Total: 634

[7/90] Processing: CLDTOT_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[8/90] Processing: FLDS_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[9/90] Processing: FLDSC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[10/90] Processing: FLNS_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[11/90] Processing: FLNSC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[12/90] Processing: FLNT_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[13/90] Processing: FLNTC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[14/90] Processing: FLUT_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[15/90] Processing: FLUTC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[16/90] Processing: FREQSH_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[17/90] Processing: FREQZM_1_768_1152.dat
  False Negatives: 0
  False Positives: 574
  False Types: 0
  Grand Total: 574

[18/90] Processing: FSDS_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

